"","student_id","subsection","lecture_points","video_seconds"
"697",43,"Lecture 2",0,0
"698",43,"Lecture 3",0,0
"699",43,"Lecture 4",0,0
"700",43,"Lecture 5",0,0
"701",43,"Lecture 6",0,0
"702",43,"Lecture 7",0,0
"703",43,"Lecture 8",0,0
"704",43,"Lecture 9",0,0
"705",44,"Lecture 1",0,223
"706",44,"Lecture 10",0,0
"707",44,"Lecture 11",0,0
"708",44,"Lecture 12",0,0
"709",44,"Lecture 13",0,0
"710",44,"Lecture 14",0,0
"711",44,"Lecture 15",0,0
"712",44,"Lecture 16",0,0
"713",44,"Lecture 2",0,0
"714",44,"Lecture 3",0,0
"715",44,"Lecture 4",0,0
"716",44,"Lecture 5",0,0
"717",44,"Lecture 6",0,0
"718",44,"Lecture 7",0,0
"719",44,"Lecture 8",0,0
"720",44,"Lecture 9",0,0
"721",45,"Lecture 1",0,264
"722",45,"Lecture 10",0,0
"723",45,"Lecture 11",0,0
"724",45,"Lecture 12",0,0
"725",45,"Lecture 13",0,0
"726",45,"Lecture 14",0,0
"727",45,"Lecture 15",0,0
"728",45,"Lecture 16",0,0
"729",45,"Lecture 2",0,0
"730",45,"Lecture 3",0,0
"731",45,"Lecture 4",0,0
"732",45,"Lecture 5",0,0
"733",45,"Lecture 6",0,0
"734",45,"Lecture 7",0,0
"735",45,"Lecture 8",0,0
"736",45,"Lecture 9",0,0
"737",46,"Lecture 1",0,309
"738",46,"Lecture 10",0,0
"739",46,"Lecture 11",0,0
"740",46,"Lecture 12",0,0
"741",46,"Lecture 13",0,0
"742",46,"Lecture 14",0,0
"743",46,"Lecture 15",0,0
"744",46,"Lecture 16",0,0
"745",46,"Lecture 2",0,0
"746",46,"Lecture 3",0,0
"747",46,"Lecture 4",0,0
"748",46,"Lecture 5",0,0
"749",46,"Lecture 6",0,0
"750",46,"Lecture 7",0,0
"751",46,"Lecture 8",0,0
"752",46,"Lecture 9",0,0
"753",47,"Lecture 1",8,1694
"754",47,"Lecture 10",6,1121
"755",47,"Lecture 11",9,3437
"756",47,"Lecture 12",1,2555
"757",47,"Lecture 13",5,1598
"758",47,"Lecture 14",5,565
"759",47,"Lecture 15",6,1955
"760",47,"Lecture 16",5,0
"761",47,"Lecture 2",3,1291
"762",47,"Lecture 3",7,2543
"763",47,"Lecture 4",7,1759
"764",47,"Lecture 5",5,1007
"765",47,"Lecture 6",6,2230
"766",47,"Lecture 7",6,2151
"767",47,"Lecture 8",5,1364
"768",47,"Lecture 9",4,2576
"769",48,"Lecture 1",0,0
"770",48,"Lecture 10",0,0
"771",48,"Lecture 11",0,0
"772",48,"Lecture 12",0,0
"773",48,"Lecture 13",0,0
"774",48,"Lecture 14",0,0
"775",48,"Lecture 15",0,0
"776",48,"Lecture 16",0,0
"777",48,"Lecture 2",0,0
"778",48,"Lecture 3",0,0
"779",48,"Lecture 4",0,0
"780",48,"Lecture 5",0,0
"781",48,"Lecture 6",0,0
"782",48,"Lecture 7",0,0
"783",48,"Lecture 8",0,0
"784",48,"Lecture 9",0,0
"785",49,"Lecture 1",1,875
"786",49,"Lecture 10",0,0
"787",49,"Lecture 11",0,0
"788",49,"Lecture 12",0,0
"789",49,"Lecture 13",0,0
"790",49,"Lecture 14",0,0
"791",49,"Lecture 15",0,0
"792",49,"Lecture 16",0,0
"793",49,"Lecture 2",0,778
"794",49,"Lecture 3",0,618
"795",49,"Lecture 4",0,0
"796",49,"Lecture 5",0,0
"797",49,"Lecture 6",0,0
"798",49,"Lecture 7",0,0
"799",49,"Lecture 8",0,0
"800",49,"Lecture 9",0,0
"801",50,"Lecture 1",2,185
"802",50,"Lecture 10",0,0
"803",50,"Lecture 11",0,0
"804",50,"Lecture 12",0,0
"805",50,"Lecture 13",0,0
"806",50,"Lecture 14",0,0
"807",50,"Lecture 15",0,0
"808",50,"Lecture 16",0,0
"809",50,"Lecture 2",2,0
"810",50,"Lecture 3",0,0
"811",50,"Lecture 4",0,0
"812",50,"Lecture 5",0,0
